,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ekhabi,100,RU,1586616111,95,53.51,142.97,33.04,11.54
1,atuona,97,PF,1586616111,72,-9.8,-139.03,82.11,8.75
2,mackay,99,AU,1586616112,94,-21.15,149.2,75.0,3.36
3,port hardy,77,CD,1586616012,55,-7.03,29.76,78.48,7.74
4,salalah,75,OM,1586616113,70,17.02,54.09,84.2,11.41
5,winslow,1,US,1586616113,48,35.02,-110.7,39.99,5.57
6,cape town,75,CL,1586616113,82,-36.41,-71.9,57.2,11.41
7,fortuna,90,US,1586616113,100,40.6,-124.16,51.01,9.46
8,castro,75,BR,1586616113,45,-24.79,-50.01,69.13,2.66
9,vaini,20,TO,1586616106,93,-21.2,-175.2,66.2,3.36
10,macon,1,US,1586616023,43,39.87,-88.97,57.0,14.99
11,luderitz,0,NA,1586616114,28,-26.65,15.16,86.0,4.7
12,bay roberts,1,US,1586616114,52,43.73,-84.02,46.0,6.93
13,tiksi,31,RU,1586616115,93,71.69,128.87,21.88,17.09
14,antofagasta,75,CL,1586615853,64,-23.65,-70.4,72.0,3.36
15,hilo,1,US,1586616107,82,19.73,-155.09,68.0,4.7
16,busselton,100,AU,1586616109,46,-33.65,115.33,71.01,1.88
17,butaritari,89,KI,1586616116,76,3.07,172.79,83.82,12.62
18,kapaa,1,US,1586615974,73,22.08,-159.32,75.2,8.05
19,jamestown,90,US,1586616116,64,42.1,-79.24,39.2,16.11
20,dikson,99,RU,1586616117,93,73.51,80.55,10.08,7.72
21,preobrazheniye,12,RU,1586616117,94,42.9,133.91,29.53,5.88
22,hobart,75,AU,1586616115,71,-42.88,147.33,51.8,12.75
23,yar-sale,100,RU,1586616117,97,66.83,70.83,31.66,14.85
24,upernavik,100,GL,1586616109,88,72.79,-56.15,19.63,7.27
25,airai,25,TL,1586615988,74,-8.93,125.41,60.71,0.96
26,ushuaia,75,AR,1586616118,57,-54.8,-68.3,48.2,6.93
27,yellowknife,20,CA,1586616105,77,62.46,-114.35,5.0,8.05
28,lebu,0,CL,1586616118,59,-37.62,-73.65,58.82,13.04
29,saint-georges,20,GD,1586616119,62,12.06,-61.75,86.0,13.87
30,sovetskiy,100,RU,1586616119,87,61.36,63.58,39.25,9.33
31,talnakh,90,RU,1586616119,100,69.49,88.4,24.8,33.55
32,albany,40,US,1586615859,48,42.6,-73.97,45.0,18.34
33,labuhan,80,ID,1586616119,82,-6.88,112.21,79.61,2.71
34,mataura,100,NZ,1586616115,70,-46.19,168.86,54.0,3.0
35,port lincoln,77,CD,1586616120,55,-7.03,29.76,78.48,7.74
36,port alfred,77,CD,1586616120,55,-7.03,29.76,78.48,7.74
37,hermanus,100,ZA,1586616120,80,-34.42,19.23,69.01,5.99
38,rikitea,97,PF,1586616107,74,-23.12,-134.97,76.62,4.76
39,bredasdorp,100,ZA,1586616121,47,-34.53,20.04,75.2,6.93
40,ancud,0,CL,1586616118,71,-41.87,-73.82,50.0,4.7
41,moose factory,75,US,1586616121,86,43.66,-110.72,39.2,5.82
42,lasa,5,IT,1586616122,33,46.62,10.7,78.8,5.82
43,cidreira,18,BR,1586616069,57,-30.18,-50.21,71.35,6.04
44,kamina,67,CD,1586616122,57,-8.74,24.99,76.69,5.14
45,yashan,98,CN,1586616122,74,22.2,109.94,66.22,12.64
46,vale,75,GE,1586616123,76,41.62,42.87,53.6,3.36
47,bredy,95,RU,1586616123,64,52.42,60.34,44.6,7.2
48,pachino,84,IT,1586616115,48,36.72,15.09,66.2,8.05
49,puerto escondido,20,ES,1586616124,56,36.59,-6.23,73.4,13.87
50,atlantic city,1,US,1586616124,34,39.47,-74.67,53.01,23.04
51,tonj,93,SS,1586616124,34,7.27,28.68,93.61,1.3
52,kirakira,95,SB,1586616124,80,-10.45,161.92,79.95,6.11
53,gamboma,91,CG,1586616125,52,-1.88,15.86,87.6,4.34
54,khilok,0,RU,1586616125,39,51.37,110.47,42.67,1.7
55,khatanga,80,RU,1586616121,94,71.97,102.5,7.07,12.57
56,mar del plata,90,ES,1586616125,100,43.4,-4.01,60.01,6.93
57,kidal,21,ML,1586616126,9,18.44,1.41,103.42,6.71
58,lagoa,0,PT,1586616126,69,39.05,-27.98,61.59,9.22
59,hualmay,36,PE,1586615942,71,-11.1,-77.61,75.54,7.65
60,simoes,35,BR,1586616127,65,-7.6,-40.82,83.66,2.98
