,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nemuro,66,JP,1586377624,93,43.32,145.57,33.24,8.21
1,vaini,90,TO,1586377624,100,-21.2,-175.2,75.2,47.2
2,puerto ayora,86,ES,1586377624,55,36.59,-6.23,64.4,2.24
3,korla,0,CN,1586377624,21,41.76,86.15,59.02,1.95
4,ushuaia,15,AR,1586377625,32,-54.8,-68.3,68.0,6.93
5,jamestown,1,US,1586377625,66,42.1,-79.24,55.99,11.41
6,papara,40,BR,1586377625,70,-3.98,-38.73,86.0,10.29
7,tasiilaq,2,GL,1586377625,74,65.61,-37.64,28.4,16.11
8,mataura,100,NZ,1586377385,92,-46.19,168.86,51.01,15.01
9,ketchikan,90,US,1586377626,93,55.34,-131.65,39.2,28.86
10,lipin bor,20,PL,1586377626,57,52.93,15.12,54.0,3.96
11,nikolskoye,100,RU,1586377033,42,59.7,30.79,48.2,8.95
12,tuatapere,100,NZ,1586377139,93,-46.13,167.68,51.01,13.0
13,bagotville,75,AU,1586377627,93,-28.98,153.42,64.4,9.4
14,dudinka,75,RU,1586377627,86,69.41,86.18,33.8,13.42
15,narsaq,98,GL,1586377304,24,60.92,-46.05,44.6,2.24
16,iskateley,100,RU,1586377628,98,67.68,53.15,30.11,12.12
17,atuona,3,PF,1586377391,78,-9.8,-139.03,82.63,14.99
18,bluff,100,NZ,1586377628,92,-46.6,168.33,51.01,15.01
19,santa rosa,1,PH,1586377628,76,17.49,120.43,74.66,3.69
20,rikitea,73,PF,1586377629,81,-23.12,-134.97,76.51,10.89
21,port elizabeth,96,CD,1586377629,63,-7.03,29.76,74.05,9.53
22,ahipara,68,NZ,1586377391,67,-35.17,173.17,64.15,17.34
23,bilma,99,NE,1586377629,13,18.69,12.92,83.3,14.56
24,albany,75,US,1586377630,47,42.6,-73.97,57.99,8.05
25,gacko,0,BA,1586377630,49,43.17,18.54,36.43,4.7
26,pangody,99,RU,1586377294,97,65.85,74.49,21.72,16.15
27,waitara,30,NZ,1586377630,67,-38.92,174.25,57.0,11.01
28,iqaluit,5,CA,1586377045,66,63.75,-68.51,15.8,2.24
29,anloga,40,GH,1586377631,83,5.79,0.9,84.2,12.75
30,luderitz,34,NA,1586377388,82,-26.65,15.16,60.8,4.7
31,mizdah,1,LY,1586377631,53,31.45,12.98,54.0,14.14
32,souillac,75,MU,1586377229,78,-20.52,57.52,80.6,8.05
33,rio grande,20,GR,1586377632,53,38.3,21.78,53.6,4.7
34,roebourne,57,AU,1586377632,64,-20.78,117.13,80.01,4.07
35,cidreira,37,BR,1586377187,71,-30.18,-50.21,65.1,15.86
36,sao filipe,0,IN,1586377633,21,20.51,76.21,77.83,8.37
37,ust-ishim,100,RU,1586377633,94,57.69,71.17,27.55,14.97
38,saint-augustin,100,CA,1586377449,95,51.23,-58.65,26.42,12.21
39,severo-kurilsk,100,RU,1586377289,97,50.68,156.12,31.55,7.58
40,vila velha,75,PT,1586377365,82,42.03,-8.16,62.01,2.24
41,kapaa,1,US,1586377338,73,22.08,-159.32,77.0,5.82
42,port alfred,96,CD,1586377629,63,-7.03,29.76,74.05,9.53
43,cape town,0,CL,1586377634,26,-36.41,-71.9,80.6,3.36
44,arraial do cabo,75,BR,1586377634,60,-22.84,-46.65,78.01,13.87
45,shelbyville,20,US,1586377441,61,35.48,-86.46,81.0,9.17
46,provideniya,46,RU,1586377635,71,64.38,-173.3,8.6,6.71
47,punta arenas,55,PH,1586377635,83,8.99,125.34,76.1,3.6
48,rosarito,75,MX,1586377635,81,32.33,-117.03,61.0,6.93
49,asau,0,RO,1586377635,39,46.43,26.4,48.99,2.24
50,lalmohan,0,BD,1586377635,83,22.34,90.74,80.28,7.49
51,mandal,0,IN,1586377636,19,25.45,74.57,75.47,6.55
52,siderno,0,IT,1586377636,71,38.28,16.3,59.0,6.93
53,talnakh,75,RU,1586377636,86,69.49,88.4,33.8,13.42
54,fortuna,20,US,1586377153,87,40.6,-124.16,73.99,12.75
55,isabela,33,PH,1586377396,78,6.71,121.97,76.41,3.4
56,mys shmidta,91,RU,1586377636,97,62.06,48.62,31.14,5.23
57,batagay-alyta,100,RU,1586377637,87,67.8,130.41,19.26,2.75
58,chernogorsk,100,RU,1586377637,61,53.82,91.28,46.4,17.9
59,naze,58,JP,1586377637,82,28.37,129.48,55.4,3.36
60,kruisfontein,78,ZA,1586377637,68,-34.0,24.73,59.47,16.11
61,butaritari,45,KI,1586377048,79,3.07,172.79,84.04,15.84
62,katsuura,0,JP,1586377075,71,35.13,140.3,55.4,11.41
63,yellowknife,5,CA,1586377638,45,62.46,-114.35,26.01,4.7
64,klaksvik,43,FO,1586377638,74,62.23,-6.59,37.4,11.41
65,mehamn,75,NO,1586377274,94,71.04,27.85,35.6,14.99
66,codajas,100,BR,1586377639,97,-3.84,-62.06,76.15,1.86
67,mucuri,95,BR,1586377639,85,-18.09,-39.55,79.02,13.35
68,huainan,0,CN,1586377639,60,32.63,117.0,51.85,4.45
69,hami,0,CN,1586377639,22,42.8,93.45,59.95,5.86
70,kavaratti,4,IN,1586377152,66,10.57,72.64,83.52,8.77
71,riyadh,75,SA,1586377497,15,24.69,46.72,91.4,10.29
72,byron bay,40,US,1586377640,34,44.03,-92.65,55.99,19.46
73,yulara,0,AU,1586377640,47,-25.24,130.99,59.0,6.93
74,hobart,0,AU,1586377641,87,-42.88,147.33,43.0,8.05
75,pitimbu,20,BR,1586377641,66,-7.47,-34.81,86.0,11.41
76,bereda,100,ES,1586377641,93,43.27,-7.54,62.01,3.36
77,hilo,90,US,1586377078,74,19.73,-155.09,78.8,1.19
78,bredasdorp,30,ZA,1586377349,72,-34.53,20.04,61.0,12.75
79,shimoda,0,JP,1586377374,55,34.67,138.95,57.0,18.01
80,ponta do sol,40,PT,1586377642,82,38.73,-28.27,62.6,14.99
81,chokurdakh,45,RU,1586377642,90,70.63,147.92,-12.44,6.02
82,new norfolk,40,LR,1586377496,88,6.65,-10.59,82.4,4.7
83,kolobrzeg,97,PL,1586377604,51,54.18,15.58,57.0,11.54
84,vostok,100,RU,1586377643,87,46.49,135.88,20.75,2.39
85,daryapur,0,IN,1586377643,19,20.93,77.33,81.75,6.4
86,vestmannaeyjar,23,IS,1586376801,72,63.44,-20.27,37.69,1.28
87,castro,0,BR,1586377226,48,-24.79,-50.01,63.07,2.15
88,yatou,99,CN,1586377176,57,37.15,122.38,44.55,6.67
89,ferrol,100,ES,1586377586,93,43.48,-8.24,59.0,3.36
90,cherskiy,51,RU,1586377406,91,68.75,161.3,-2.92,14.9
91,san juan del cesar,15,ML,1586377474,11,13.3,-4.9,87.8,4.59
92,aksarka,100,RU,1586377433,97,66.56,67.8,18.66,9.64
93,qianan,86,CN,1586377644,77,44.99,124.06,34.66,5.86
94,saint-pierre,75,RE,1586377645,78,-21.34,55.48,77.0,6.93
95,san policarpo,15,ML,1586377592,11,13.3,-4.9,87.8,4.59
96,gulbene,95,LV,1586377645,61,57.18,26.75,42.96,6.67
97,tsabong,31,BW,1586377645,19,-26.02,22.4,70.61,8.48
98,santa isabel,1,PH,1586377645,76,17.49,120.43,74.66,3.69
99,mariinsk,100,RU,1586377646,94,56.21,87.75,30.07,5.93
100,slonim,41,BY,1586377646,63,53.09,25.32,44.91,3.0
101,barrow,1,US,1586377646,91,71.29,-156.79,-7.6,6.42
102,touros,20,BR,1586377495,74,-5.2,-35.46,84.2,8.05
103,lebu,3,CL,1586377646,65,-37.62,-73.65,62.62,3.76
104,hermanus,12,ZA,1586377647,70,-34.42,19.23,61.0,8.01
105,sulphur,90,US,1586377647,69,30.24,-93.38,82.99,4.7
106,tevriz,100,RU,1586377647,92,57.51,72.4,28.09,15.52
107,namatanai,80,PG,1586377417,74,-3.67,152.43,82.44,4.9
108,broome,40,US,1586377203,54,42.25,-75.83,57.99,13.87
109,saskylakh,97,RU,1586377217,98,71.92,114.08,22.84,3.87
110,coquimbo,90,CL,1586377038,77,-29.95,-71.34,64.4,6.93
111,andover,2,GB,1586377648,55,51.21,-1.48,61.0,4.7
112,jumla,2,NP,1586377439,27,29.27,82.18,40.06,4.12
113,kovernino,62,RU,1586377648,87,57.13,43.81,37.92,7.45
114,stepnyak,0,KZ,1586377649,86,52.83,70.78,27.03,11.34
115,torbay,75,CA,1586377235,47,47.67,-52.73,37.0,12.75
116,lasa,5,IT,1586377393,65,46.62,10.7,62.6,3.36
117,sao joao da barra,0,IN,1586377649,21,20.51,76.21,77.83,8.37
118,geraldton,10,AU,1586377649,88,-28.77,114.6,66.2,8.05
119,alofi,97,NU,1586377356,83,-19.06,-169.92,84.2,10.29
120,east london,20,IS,1586377467,63,65.0,-15.0,28.4,3.36
121,busselton,13,AU,1586377650,50,-33.65,115.33,62.01,8.68
122,morant bay,20,JM,1586377650,66,17.9,-76.43,86.0,14.99
123,mae sai,0,CN,1586377651,57,34.82,108.93,51.8,4.47
124,bambous virieux,75,MU,1586377651,78,-20.26,57.41,80.6,8.05
125,maturin,87,VE,1586377651,38,9.75,-63.18,92.82,10.22
126,pagudpud,24,PH,1586377449,81,18.56,120.79,75.43,10.94
127,lompoc,1,US,1586377119,66,34.64,-120.46,57.99,4.7
128,avarua,75,CK,1586377368,88,-21.21,-159.78,80.6,16.11
129,saldanha,0,ZA,1586377652,33,-33.01,17.94,62.6,5.82
130,altay,0,CN,1586377652,35,47.87,88.12,46.58,5.57
131,hithadhoo,84,MV,1586377652,68,-0.6,73.08,84.83,10.27
132,tautira,89,PF,1586377426,70,-17.73,-149.15,84.2,16.11
133,cayenne,75,GF,1586377557,66,4.93,-52.33,86.0,11.41
134,saint-joseph,75,RE,1586377653,78,-21.37,55.62,77.0,6.93
135,ambovombe,0,MG,1586377410,88,-25.17,46.08,72.48,4.18
136,alice springs,1,US,1586377653,44,27.75,-98.07,100.4,4.7
137,aksu,8,CN,1586377178,21,41.12,80.26,57.4,4.32
